,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20150713 14:04:16:571,-29,11.8,0.0,0.17,32.963596,-117.064606,0.01,true,3,16,-1.86,211.86,0.61,15,225,1,3,21,16,false,2,0,0.55
20150713 14:04:16:754,-30,11.8,0.0,0.18,32.963596,-117.064606,0.01,true,3,16,-1.86,211.86,0.61,15,225,1,3,21,16,false,2,0,0.55
20150713 14:04:19:448,-29,11.8,0.0,0.19,32.963596,-117.064606,0.014142135,true,3,16,-1.86,211.89,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:19:522,-30,11.8,0.0,0.19,32.963596,-117.064606,2.55,true,3,16,-1.86,211.89,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:20:599,-30,11.8,0.0,0.27,32.963596,-117.064606,0.0,true,3,16,-1.86,211.9,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:20:718,-30,11.8,0.0,0.27,32.963596,-117.064606,0.0,true,3,16,-1.87,211.9,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:20:790,-30,11.8,0.0,0.25,32.963596,-117.064606,0.0,true,3,16,-1.87,211.9,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:21:293,-31,11.8,0.0,0.32,32.963596,-117.064606,0.0,true,3,16,-1.86,211.91,0.62,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:21:972,-30,11.8,0.0,0.28,32.963596,-117.064606,0.01,true,3,16,-1.86,211.91,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:22:124,-30,11.8,0.0,0.28,32.963596,-117.064606,0.01,true,3,16,-1.86,211.91,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:22:772,-32,11.8,0.0,0.31,32.963596,-117.064606,0.0,true,3,16,-1.85,211.92,0.62,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:24:053,-31,11.8,0.0,0.28,32.963596,-117.064606,0.014142135,true,3,16,-1.85,211.93,0.62,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:24:836,-31,11.8,0.0,0.28,32.963596,-117.064606,0.0,true,3,16,-1.86,211.94,0.62,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:25:149,-31,11.8,0.0,0.29,32.963596,-117.064606,0.0,true,3,16,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.5
20150713 14:04:26:612,-31,11.8,0.0,0.25,32.963596,-117.064606,0.022360679,true,3,16,-1.86,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:26:719,-32,11.8,0.0,0.23,32.963596,-117.064606,0.01,true,3,16,-1.86,211.95,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:27:396,-31,11.8,0.0,0.23,32.963596,-117.064606,0.0,true,3,16,-1.87,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:27:716,-31,11.8,0.0,0.24,32.963596,-117.064606,0.01,true,3,16,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:27:891,-31,11.8,0.0,0.24,32.963596,-117.064606,0.0,true,3,16,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:28:680,-31,11.8,0.0,0.27,32.963596,-117.064606,0.01,true,3,16,-1.86,211.95,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:28:972,-31,11.8,0.0,0.3,32.963596,-117.064606,0.014142135,true,3,16,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:29:854,-29,11.8,0.0,0.31,32.963596,-117.064606,0.01,true,3,16,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:31:157,-29,11.8,0.0,0.29,32.963596,-117.064606,2.55,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:31:373,-29,11.8,0.0,0.23,32.963596,-117.064606,0.01,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:31:632,-31,11.8,0.0,0.24,32.963596,-117.064606,0.01,true,3,17,-1.86,211.95,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:32:524,-31,11.8,0.0,0.29,32.963596,-117.064606,0.01,true,3,17,-1.87,211.95,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:33:315,-31,11.8,0.0,0.28,32.963596,-117.064606,2.5500195,true,3,17,-1.87,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:33:808,-31,11.8,0.0,0.19,32.963596,-117.064606,0.01,true,3,17,-1.87,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:34:602,-31,11.8,0.0,0.23,32.963596,-117.064606,0.0,true,3,17,-1.86,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:34:875,-31,11.8,0.0,0.23,32.963596,-117.064606,0.0,true,3,17,-1.87,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:34:986,-30,11.8,0.0,0.26,32.963596,-117.064606,0.0,true,3,17,-1.86,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:35:177,-30,11.8,0.0,0.3,32.963596,-117.064606,0.01,true,3,17,-1.86,211.95999,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:35:781,-30,11.8,0.0,0.29,32.963596,-117.064606,0.01,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:35:983,-31,11.8,0.0,0.29,32.963596,-117.064606,2.55,true,3,17,-1.87,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:36:306,-30,11.8,0.0,0.33,32.963596,-117.064606,0.01,true,3,17,-1.87,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:36:457,-30,11.8,0.0,0.35,32.963596,-117.064606,0.014142135,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:36:555,-30,11.8,0.0,0.35,32.963596,-117.064606,0.01,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:37:156,-31,11.8,0.0,0.34,32.963596,-117.064606,0.014142135,true,3,17,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:37:334,-30,11.8,0.0,0.32,32.963596,-117.064606,0.0,true,3,17,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:37:435,-31,11.8,0.0,0.34,32.963596,-117.064606,0.0,true,3,17,-1.86,211.95,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:37:638,-31,11.8,0.0,0.34,32.963596,-117.064606,0.0,true,3,17,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:37:846,-30,11.8,0.0,0.35,32.963596,-117.064606,0.0,true,3,17,-1.86,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:38:455,-29,11.8,0.0,0.33,32.963593,-117.064606,0.014142135,true,3,17,-1.87,211.94,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:38:827,-28,11.8,0.0,0.31,32.963593,-117.064606,0.01,true,3,17,-1.86,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:39:021,-28,11.8,0.0,0.31,32.963593,-117.064606,0.0,true,3,17,-1.86,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:39:553,-31,11.8,0.0,0.32,32.963593,-117.064606,0.014142135,true,3,17,-1.87,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:39:732,-31,11.8,0.0,0.34,32.963593,-117.064606,0.0,true,3,17,-1.87,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:39:806,-31,11.8,0.0,0.35,32.963593,-117.064606,0.0,true,3,17,-1.87,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:40:102,-31,11.8,0.0,0.34,32.963593,-117.064606,0.022360679,true,3,17,-1.87,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:40:310,-31,11.8,0.0,0.3,32.963593,-117.064606,0.01,true,3,17,-1.86,211.93,0.61,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:001,-32,11.8,0.0,0.29,32.963593,-117.064606,0.01,true,3,17,-1.86,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:077,-32,11.8,0.0,0.29,32.963593,-117.064606,0.01,true,3,17,-1.86,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:185,-31,11.8,0.0,0.31,32.963593,-117.064606,0.01,true,3,17,-1.86,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:413,-31,11.8,0.0,0.31,32.963593,-117.064606,0.01,true,3,17,-1.86,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:577,-31,11.8,0.0,0.32,32.963593,-117.064606,0.0,true,3,17,-1.86,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:41:679,-31,11.8,0.0,0.32,32.963593,-117.064606,0.0,true,3,17,-1.86,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:42:200,-31,11.8,0.0,0.4,32.963593,-117.064606,0.014142135,true,3,17,-1.87,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:42:561,-33,11.8,0.0,0.41,32.963593,-117.064606,0.0,true,3,17,-1.87,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:42:763,-33,11.8,0.0,0.42,32.963593,-117.064606,0.014142135,true,3,17,-1.87,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:42:965,-31,11.8,0.0,0.38,32.963593,-117.064606,0.01,true,3,17,-1.87,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:43:524,-32,11.8,0.0,0.4,32.963593,-117.064606,0.0,true,3,17,-1.86,211.91,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:43:639,-33,11.8,0.0,0.35,32.963593,-117.064606,0.01,true,3,17,-1.86,211.91,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:43:745,-31,11.8,0.0,0.36,32.963593,-117.064606,0.014142135,true,3,17,-1.86,211.91,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:43:843,-31,11.8,0.0,0.34,32.963593,-117.064606,0.014142135,true,3,17,-1.86,211.91,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:44:052,-32,11.8,0.0,0.33,32.963593,-117.064606,0.01,true,3,17,-1.86,211.91,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:44:237,-32,11.8,0.0,0.35,32.963593,-117.064606,0.01,true,3,17,-1.86,211.9,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:44:743,-33,11.8,0.0,0.39,32.963593,-117.064606,0.01,true,3,17,-1.87,211.9,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:45:135,-34,11.8,0.0,0.33,32.963593,-117.064606,2.55,true,3,17,-1.87,211.9,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:45:323,-35,11.8,0.0,0.3,32.963593,-117.064606,0.0,true,3,17,-1.87,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:45:563,-37,11.8,0.0,0.28,32.963593,-117.064606,0.0,true,3,17,-1.86,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:46:169,-29,11.8,0.0,0.36,32.963593,-117.064606,0.0,true,3,17,-1.86,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:46:322,-30,11.8,0.0,0.35,32.963593,-117.064606,0.0,true,3,17,-1.87,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:46:403,-29,11.8,0.0,0.39,32.963593,-117.064606,0.01,true,3,17,-1.86,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:46:609,-30,11.8,0.0,0.41,32.963593,-117.064606,0.0,true,3,17,-1.87,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:46:806,-30,11.8,0.0,0.38,32.963593,-117.064606,0.014142135,true,3,17,-1.87,211.89,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:47:310,-29,11.8,0.0,0.35,32.963593,-117.064606,0.0,true,3,17,-1.86,211.88,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:47:580,-30,11.8,0.0,0.37,32.963593,-117.064606,0.0,true,3,17,-1.86,211.88,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:47:683,-30,11.8,0.0,0.38,32.963593,-117.064606,0.0,true,3,17,-1.86,211.88,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:47:885,-30,11.8,0.0,0.37,32.963593,-117.064606,0.0,true,3,17,-1.85,211.89,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:48:082,-29,11.8,0.0,0.36,32.963593,-117.064606,0.014142135,true,3,17,-1.85,211.9,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:48:186,-30,11.8,0.0,0.36,32.963593,-117.064606,0.01,true,3,17,-1.86,211.91,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:48:688,-30,11.8,0.0,0.36,32.963593,-117.064606,0.01,true,3,17,-1.85,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:48:787,-31,11.8,0.0,0.35,32.963593,-117.064606,0.01,true,3,17,-1.85,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:48:959,-30,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.85,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:49:161,-31,11.8,0.0,0.34,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:49:380,-30,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95999,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:49:659,-32,11.8,0.0,0.35,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:49:962,-30,11.8,0.0,0.36,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:50:043,-31,11.8,0.0,0.36,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:50:247,-30,11.8,0.0,0.37,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:50:453,-30,11.8,0.0,0.37,32.963593,-117.064606,0.014142135,true,3,17,-1.84,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:50:645,-30,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95999,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:51:141,-29,11.8,0.0,0.3,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:51:427,-31,11.8,0.0,0.32,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:51:621,-29,11.8,0.0,0.33,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:51:824,-29,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:019,-30,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:218,-33,11.8,0.0,0.34,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:347,-33,11.8,0.0,0.35,32.963593,-117.064606,2.5600195,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:547,-30,11.8,0.0,0.41,32.963593,-117.064606,2.55,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:627,-31,11.8,0.0,0.41,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:52:818,-30,11.8,0.0,0.41,32.963593,-117.064606,0.0,true,3,17,-1.84,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:53:004,-30,11.8,0.0,0.39,32.963593,-117.064606,0.01,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:53:203,-30,11.8,0.0,0.38,32.963593,-117.064606,0.01,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:53:738,-29,11.8,0.0,0.35,32.963593,-117.064606,0.01,true,3,17,-1.85,211.94,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:53:982,-31,11.8,0.0,0.37,32.963593,-117.064606,0.01,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:54:187,-29,11.8,0.0,0.36,32.963593,-117.064606,0.01,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:54:382,-29,11.8,0.0,0.35,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:54:582,-31,11.8,0.0,0.31,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:54:980,-29,11.8,0.0,0.36,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95,0.57,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:55:272,-31,11.8,0.0,0.34,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95,0.57,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:55:473,-29,11.8,0.0,0.33,32.963593,-117.064606,0.0,true,3,17,-1.85,211.95,0.57,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:55:662,-32,11.8,0.0,0.31,32.963593,-117.064606,0.0,true,3,17,-1.85,211.94,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:55:864,-31,11.8,0.0,0.32,32.963593,-117.064606,0.0,true,3,17,-1.84,211.94,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:56:160,-33,11.8,0.0,0.32,32.963593,-117.064606,0.0,true,3,17,-1.84,211.94,0.58,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:56:375,-31,11.8,0.0,0.33,32.963593,-117.064606,0.0,true,3,17,-1.84,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:56:448,-33,11.8,0.0,0.31,32.963593,-117.064606,0.0,true,3,17,-1.84,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:56:651,-30,11.8,0.0,0.35,32.963593,-117.064606,0.01,true,3,17,-1.84,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:56:851,-31,11.8,0.0,0.36,32.963593,-117.064606,0.01,true,3,17,-1.85,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:045,-30,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:343,-35,11.8,0.0,0.33,32.963593,-117.064606,0.01,true,3,17,-1.84,211.94,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:458,-35,11.8,0.0,0.34,32.963593,-117.064606,0.01,true,3,17,-1.84,211.94,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:651,-33,11.8,0.0,0.33,32.963593,-117.064606,0.0,true,3,17,-1.84,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:741,-34,11.8,0.0,0.32,32.963593,-117.064606,0.01,true,3,17,-1.84,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:57:930,-31,11.8,0.0,0.33,32.963593,-117.064606,2.56,true,3,17,-1.84,211.93,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:58:126,-31,11.8,0.0,0.32,32.963593,-117.064606,2.55,true,3,17,-1.84,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:58:325,-30,11.8,0.0,0.37,32.96359,-117.064606,0.0,true,3,17,-1.84,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:58:831,-29,11.8,0.0,0.37,32.96359,-117.064606,0.014142135,true,3,17,-1.83,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:59:103,-33,11.8,0.0,0.37,32.96359,-117.064606,0.01,true,3,17,-1.83,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:59:312,-31,11.8,0.0,0.39,32.96359,-117.064606,0.0,true,3,17,-1.83,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:59:574,-33,11.8,0.0,0.41,32.96359,-117.064606,0.014142135,true,3,17,-1.82,211.93,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:04:59:736,-35,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:000,-33,11.8,0.0,0.4,32.96359,-117.064606,0.014142135,true,3,17,-1.83,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:209,-30,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:283,-31,11.8,0.0,0.39,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:493,-29,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.59,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:687,-30,11.8,0.0,0.39,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:00:893,-29,11.8,0.0,0.37,32.96359,-117.064606,0.014142135,true,3,17,-1.82,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:01:086,-31,11.8,0.0,0.37,32.96359,-117.064606,0.014142135,true,3,17,-1.83,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:01:386,-31,11.8,0.0,0.37,32.96359,-117.064606,0.0,true,3,17,-1.83,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:01:672,-33,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:01:865,-31,11.8,0.0,0.37,32.96359,-117.064606,0.01,true,3,17,-1.83,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:02:066,-31,11.8,0.0,0.39,32.96359,-117.064606,0.01,true,3,17,-1.82,211.92,0.6,15,225,1,3,21,16,false,2,0,0.45
20150713 14:05:02:164,-32,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.82,211.92,0.6,15,225,1,3,21,8,false,2,0,0.45
20150713 14:05:02:371,-33,11.8,0.0,0.4,32.96359,-117.064606,0.01,true,3,17,-1.82,211.95,0.6,15,225,1,3,21,8,false,2,0,0.45
20150713 14:05:02:662,-31,11.8,0.0,0.3,32.96359,-117.064606,0.0,true,3,17,-1.81,211.98999,0.58,15,225,1,3,21,8,false,2,0,0.45
20150713 14:05:02:946,-32,11.8,0.0,0.21,32.96359,-117.064606,0.02,true,3,17,-1.84,211.94,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:03:144,-31,11.8,0.0,0.14,32.96359,-117.064606,0.022360679,true,3,17,-1.83,211.94,0.62,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:03:365,-31,11.8,0.0,0.09,32.96359,-117.064606,0.01,true,3,17,-1.82,211.98001,0.61,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:03:559,-32,11.8,0.0,0.07,32.96359,-117.064606,0.014142135,true,3,17,-1.82,211.98999,0.59,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:03:840,-34,11.8,0.0,0.06,32.96359,-117.064606,0.01,true,3,17,-1.82,212.01001,0.6,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:049,-31,11.8,0.0,0.07,32.96359,-117.064606,0.0,true,3,17,-1.82,212.01999,0.6,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:133,-33,11.8,0.0,0.08,32.96359,-117.064606,0.0,true,3,17,-1.81,212.01999,0.57,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:341,-31,11.8,0.0,0.09,32.96359,-117.064606,0.01,true,3,17,-1.82,212.03,0.59,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:537,-31,11.8,0.0,0.06,32.96359,-117.064606,0.0,true,3,17,-1.84,212.04001,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:741,-31,11.8,0.0,0.09,32.96359,-117.064606,0.0,true,3,17,-1.85,212.05,0.59,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:04:929,-32,11.8,0.0,0.08,32.96359,-117.064606,0.0,true,3,17,-1.86,212.06,0.6,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:05:136,-33,11.8,0.0,0.04,32.96359,-117.064606,0.01,true,3,17,-1.87,212.06,0.59,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:05:336,-31,11.8,0.0,0.05,32.96359,-117.064606,0.0,true,3,17,-1.87,212.07,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:05:433,-31,11.8,0.0,0.09,32.96359,-117.064606,0.0,true,3,17,-1.87,212.08,0.59,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:05:637,-31,11.8,0.0,0.1,32.96359,-117.064606,0.01,true,3,17,-1.88,212.08,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:05:806,-31,11.8,0.0,0.1,32.96359,-117.064606,0.01,true,3,17,-1.89,212.1,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:06:011,-30,11.8,0.0,0.11,32.96359,-117.064606,0.01,true,3,17,-1.88,212.11,0.56,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:06:204,-31,11.8,0.0,0.13,32.96359,-117.064606,0.0,true,3,17,-1.87,212.11,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:06:418,-33,11.8,0.0,0.16,32.96359,-117.064606,0.0,true,3,17,-1.88,212.13,0.58,15,225,1,3,21,3,false,2,0,0.45
20150713 14:05:06:607,-31,11.8,0.0,0.12,32.96359,-117.064606,0.01,true,3,17,-1.87,212.13,0.58,15,225,1,3,21,3,false,2,0,0.45
